Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Kailer Yamamoto,UTA,R,26,9,4,5,0.35,20.0,5,8,0,0,0,44.4,0.19,0.77,2026-01-02 19:28:36
Nick Jensen,OTT,D,38,9,2,7,0.24,8.3,-8,22,0,0,0,22.2,0.18,0.63,2026-01-02 19:28:36
Dalibor Dvorsky,STL,R,32,9,6,3,0.28,14.3,-7,6,0,4,0,66.7,0.09,1.31,2026-01-02 19:28:36
Nathan Walker,STL,L,25,9,3,6,0.36,11.1,-2,14,1,0,0,33.3,0.24,1.08,2026-01-02 19:28:36
Nic Dowd,WSH,C,33,9,2,7,0.27,5.9,-1,27,0,0,0,22.2,0.21,1.03,2026-01-02 19:28:36
Wyatt Kaiser,CHI,D,40,9,4,5,0.22,10.0,0,18,1,0,0,44.4,0.12,1.0,2026-01-02 19:28:36
Ben Chiarot,DET,D,42,9,4,5,0.21,8.3,-3,40,0,0,0,44.4,0.12,1.14,2026-01-02 19:28:36
Spencer Stastney,EDM,D,40,9,1,8,0.22,2.6,-1,10,0,0,0,11.1,0.2,0.98,2026-01-02 19:28:36
Conor Sheary,NYR,L,37,9,1,8,0.24,1.8,-4,8,0,0,0,11.1,0.22,1.49,2026-01-02 19:28:36
Ryker Evans,SEA,D,24,9,3,6,0.38,15.0,0,12,0,0,0,33.3,0.25,0.83,2026-01-02 19:28:36
Mario Ferraro,SJS,D,40,9,2,7,0.22,4.3,-3,12,0,0,0,22.2,0.18,1.18,2026-01-02 19:28:36
Kaapo Kakko,SEA,R,22,9,2,7,0.41,5.9,1,6,0,1,0,22.2,0.32,1.55,2026-01-02 19:28:36
Mathieu Olivier,CBJ,R,26,9,3,6,0.35,9.1,3,49,1,0,0,33.3,0.23,1.27,2026-01-02 19:28:36
Jonny Brodzinski,NYR,C,27,9,4,5,0.33,12.5,2,6,0,0,0,44.4,0.19,1.19,2026-01-02 19:28:36
Andrew Peeke,BOS,D,41,9,4,5,0.22,8.5,-12,12,0,0,0,44.4,0.12,1.15,2026-01-02 19:28:36
Alexandre Texier,MTL,L,26,9,3,6,0.35,8.6,2,8,0,0,0,33.3,0.23,1.35,2026-01-02 19:28:36
Gavin Brindley,COL,C,27,9,5,4,0.33,14.7,7,8,3,0,0,55.6,0.15,1.26,2026-01-02 19:28:36
Fedor Svechkov,NSH,C,38,9,2,7,0.24,4.1,-3,12,0,0,1,22.2,0.18,1.29,2026-01-02 19:28:36
Drew Helleson,ANA,D,36,9,2,7,0.25,7.4,-8,10,0,0,0,22.2,0.19,0.75,2026-01-02 19:28:36
Nikita Nesterenko,ANA,C,25,9,1,8,0.36,3.8,1,8,1,0,0,11.1,0.32,1.04,2026-01-02 19:28:36
Nick Paul,TBL,L,21,9,4,5,0.43,12.9,-4,6,0,0,0,44.4,0.24,1.48,2026-01-02 19:28:36
Nicolas Hague,NSH,D,32,9,1,8,0.28,4.8,-7,29,0,0,0,11.1,0.25,0.66,2026-01-02 19:28:36
Alexander Petrovic,DAL,D,39,9,2,7,0.23,4.4,4,47,0,0,0,22.2,0.18,1.15,2026-01-02 19:28:36
Alexandre Carrier,MTL,D,40,9,1,8,0.22,3.4,-9,16,0,0,0,11.1,0.2,0.72,2026-01-02 19:28:36
Cody Glass,NJD,C,29,9,7,2,0.31,14.3,2,19,1,1,0,77.8,0.07,1.69,2026-01-02 19:28:36
Barclay Goodrow,SJS,C,40,8,3,5,0.2,8.8,-6,14,0,0,0,37.5,0.12,0.85,2026-01-02 19:28:36
Nikita Grebenkin,PHI,R,28,8,2,6,0.29,13.3,-3,21,0,0,0,25.0,0.21,0.54,2026-01-02 19:28:36
Alex Vlasic,CHI,D,39,8,2,6,0.21,5.7,-14,9,0,0,0,25.0,0.15,0.9,2026-01-02 19:28:36
Dougie Hamilton,NJD,D,36,8,4,4,0.22,4.3,-6,28,1,2,0,50.0,0.11,2.56,2026-01-02 19:28:36
Jason Dickinson,CHI,C,27,8,4,4,0.3,11.8,-6,8,0,0,1,50.0,0.15,1.26,2026-01-02 19:28:36
Marcus Pettersson,VAN,D,39,8,1,7,0.21,3.4,0,39,0,0,0,12.5,0.18,0.74,2026-01-02 19:28:36
Ondrej Palat,NJD,L,40,8,2,6,0.2,4.1,2,8,0,0,0,25.0,0.15,1.23,2026-01-02 19:28:36
Matt Grzelcyk,CHI,D,40,8,0,8,0.2,0.0,3,18,0,0,0,0.0,0.2,1.1,2026-01-02 19:28:36
Gustav Nyquist,WPG,R,30,8,0,8,0.27,0.0,-4,4,0,0,0,0.0,0.27,1.33,2026-01-02 19:28:36
Joel Nystrom,CAR,D,29,8,0,8,0.28,0.0,2,4,0,0,0,0.0,0.28,1.24,2026-01-02 19:28:36
Braden Schneider,NYR,D,42,8,2,6,0.19,4.0,-5,12,0,0,0,25.0,0.14,1.19,2026-01-02 19:28:36
Jeff Petry,FLA,D,37,8,0,8,0.22,0.0,-1,14,0,0,0,0.0,0.22,0.78,2026-01-02 19:28:36
William Carrier,CAR,L,33,8,3,5,0.24,8.3,-1,6,1,0,0,37.5,0.15,1.09,2026-01-02 19:28:36
Frederick Gaudreau,SEA,C,25,8,3,5,0.32,12.0,2,7,0,1,0,37.5,0.2,1.0,2026-01-02 19:28:36
Casey Cizikas,NYI,C,41,8,3,5,0.2,12.0,-4,8,0,0,0,37.5,0.12,0.61,2026-01-02 19:28:36
Ryan McDonagh,TBL,D,18,8,4,4,0.44,23.5,1,0,0,0,0,50.0,0.22,0.94,2026-01-02 19:28:36
Adam Klapka,CGY,R,39,8,3,5,0.21,7.5,-2,74,0,0,0,37.5,0.13,1.03,2026-01-02 19:28:36
Max Crozier,TBL,D,22,8,1,7,0.36,3.6,4,25,0,0,0,12.5,0.32,1.27,2026-01-02 19:28:36
Blake Lizotte,PIT,C,30,8,4,4,0.27,12.1,3,10,0,0,0,50.0,0.13,1.1,2026-01-02 19:28:36
Jake Middleton,MIN,D,34,8,0,8,0.24,0.0,2,44,0,0,0,0.0,0.24,0.79,2026-01-02 19:28:36
Igor Chernyshov,SJS,L,7,8,3,5,1.14,18.8,4,0,1,1,0,37.5,0.71,2.29,2026-01-02 19:28:36
Carl Grundstrom,PHI,R,13,8,7,1,0.62,36.8,5,8,1,0,0,87.5,0.08,1.46,2026-01-02 19:28:36
Vladislav Namestnikov,WPG,C,39,8,6,2,0.21,11.8,-8,22,1,2,0,75.0,0.05,1.31,2026-01-02 19:28:36
Nick Perbix,NSH,D,37,8,3,5,0.22,7.7,-11,12,0,0,0,37.5,0.14,1.05,2026-01-02 19:28:36
Mikey Anderson,LAK,D,39,8,2,6,0.21,7.1,9,10,0,0,0,25.0,0.15,0.72,2026-01-02 19:28:36
Noel Acciari,PIT,C,26,8,3,5,0.31,10.7,1,17,0,0,0,37.5,0.19,1.08,2026-01-02 19:28:36
Cole Perfetti,WPG,C,25,8,2,6,0.32,4.3,-12,8,1,1,0,25.0,0.24,1.84,2026-01-02 19:28:36
Sam Rinzel,CHI,D,28,8,1,7,0.29,2.6,0,28,0,0,0,12.5,0.25,1.39,2026-01-02 19:28:36
Brian Dumoulin,LAK,D,39,8,0,8,0.21,0.0,4,12,0,0,0,0.0,0.21,1.0,2026-01-02 19:28:36
Adam Larsson,SEA,D,38,8,2,6,0.21,4.9,-3,20,1,0,0,25.0,0.16,1.08,2026-01-02 19:28:36
Jeff Skinner,SJS,L,27,8,5,3,0.3,10.9,-10,14,0,1,0,62.5,0.11,1.7,2026-01-02 19:28:36
Radko Gudas,ANA,D,27,8,1,7,0.3,2.9,-5,9,0,0,0,12.5,0.26,1.3,2026-01-02 19:28:36
Tyler Myers,VAN,D,39,8,1,7,0.21,2.4,-12,34,0,0,0,12.5,0.18,1.08,2026-01-02 19:28:36
Nick Foligno,CHI,L,18,7,1,6,0.39,4.5,0,18,0,0,0,14.3,0.33,1.22,2026-01-02 19:28:36
Sonny Milano,WSH,L,23,7,4,3,0.3,15.4,1,4,2,0,0,57.1,0.13,1.13,2026-01-02 19:28:36
Rodrigo Abols,PHI,C,34,7,2,5,0.21,5.7,-2,11,0,0,1,28.6,0.15,1.03,2026-01-02 19:28:36
Tyson Jost,NSH,C,30,7,3,4,0.23,9.7,-8,12,0,0,0,42.9,0.13,1.03,2026-01-02 19:28:36
Nate Danielson,DET,C,27,7,2,5,0.26,6.5,-6,4,0,0,0,28.6,0.19,1.15,2026-01-02 19:28:36
Colin Blackwell,DAL,C,37,7,2,5,0.19,6.7,-1,14,1,0,0,28.6,0.14,0.81,2026-01-02 19:28:36
Colton Dach,CHI,C,40,7,3,4,0.18,7.0,-15,45,1,1,0,42.9,0.1,1.08,2026-01-02 19:28:36
Oskar Bäck,DAL,C,31,7,3,4,0.23,16.7,6,6,1,0,1,42.9,0.13,0.58,2026-01-02 19:28:36
Ilya Lyubushkin,DAL,D,29,7,1,6,0.24,5.6,2,23,0,0,0,14.3,0.21,0.62,2026-01-02 19:28:36
Matt Duchene,DAL,C,16,7,3,4,0.44,15.0,-2,2,1,1,0,42.9,0.25,1.25,2026-01-02 19:28:36
Michael McCarron,NSH,C,39,7,1,6,0.18,1.9,-9,42,0,0,0,14.3,0.15,1.33,2026-01-02 19:28:36
Sam Carrick,NYR,C,42,7,1,6,0.17,2.2,3,35,0,0,0,14.3,0.14,1.1,2026-01-02 19:28:36
Yan Kuznetsov,CGY,D,26,7,2,5,0.27,9.1,2,18,1,0,0,28.6,0.19,0.85,2026-01-02 19:28:36
Neal Pionk,WPG,D,35,7,2,5,0.2,2.8,-2,19,1,1,0,28.6,0.14,2.03,2026-01-02 19:28:36
Zemgus Girgensons,TBL,C,33,7,5,2,0.21,10.9,-1,12,0,0,0,71.4,0.06,1.39,2026-01-02 19:28:36
Keegan Kolesar,VGK,R,39,7,1,6,0.18,3.0,-9,35,0,0,0,14.3,0.15,0.85,2026-01-02 19:28:36
Kirby Dach,MTL,C,15,7,5,2,0.47,22.7,-2,16,0,0,0,71.4,0.13,1.47,2026-01-02 19:28:36
Isak Rosen,BUF,R,13,7,3,4,0.54,21.4,-3,0,0,0,0,42.9,0.31,1.08,2026-01-02 19:28:36
Jamie Oleksiak,SEA,D,36,7,3,4,0.19,7.7,6,10,1,0,0,42.9,0.11,1.08,2026-01-02 19:28:36
Dominic James,TBL,C,25,7,2,5,0.28,8.0,-2,4,0,0,0,28.6,0.2,1.0,2026-01-02 19:28:36
Adam Lowry,WPG,C,27,7,2,5,0.26,7.1,1,10,0,0,0,28.6,0.19,1.04,2026-01-02 19:28:36
Tyler Tucker,STL,D,37,7,1,6,0.19,2.5,-7,43,0,0,0,14.3,0.16,1.08,2026-01-02 19:28:36
Cody Ceci,LAK,D,39,7,1,6,0.18,3.1,-2,8,0,0,0,14.3,0.15,0.82,2026-01-02 19:28:36
Uvis Balinskis,FLA,D,30,7,1,6,0.23,3.8,3,16,0,0,0,14.3,0.2,0.87,2026-01-02 19:28:36
Kevin Bahl,CGY,D,39,7,3,4,0.18,9.7,11,29,2,0,0,42.9,0.1,0.79,2026-01-02 19:28:36
Sammy Blais,MTL,L,13,7,3,4,0.54,27.3,1,6,0,0,0,42.9,0.31,0.85,2026-01-02 19:28:36
Jesper Boqvist,FLA,C,39,7,3,4,0.18,8.6,-3,10,1,0,0,42.9,0.1,0.9,2026-01-02 19:28:36
Matthew Robertson,NYR,D,33,7,2,5,0.21,6.7,0,18,0,0,0,28.6,0.15,0.91,2026-01-02 19:28:36
Ty Emberson,EDM,D,36,7,1,6,0.19,4.3,4,10,1,0,0,14.3,0.17,0.64,2026-01-02 19:28:36
Troy Stecher,TOR,D,27,7,2,5,0.26,9.1,12,10,0,0,0,28.6,0.19,0.81,2026-01-02 19:28:36
Jalen Chatfield,CAR,D,33,7,0,7,0.21,0.0,6,12,0,0,0,0.0,0.21,1.33,2026-01-02 19:28:36
Stefan Noesen,NJD,R,34,7,3,4,0.21,6.4,-10,31,1,1,0,42.9,0.12,1.38,2026-01-02 19:28:36
William Karlsson,VGK,C,14,7,4,3,0.5,13.3,-1,4,1,1,1,57.1,0.21,2.14,2026-01-02 19:28:36
Ryan Winterton,SEA,C,36,7,3,4,0.19,8.6,-1,8,0,0,0,42.9,0.11,0.97,2026-01-02 19:28:36
Ian Moore,ANA,D,26,6,2,4,0.23,7.4,1,14,1,0,0,33.3,0.15,1.04,2026-01-02 19:28:36
Henri Jokiharju,BOS,D,25,6,0,6,0.24,0.0,-5,10,0,0,0,0.0,0.24,0.88,2026-01-02 19:28:36
Brandon Duhaime,WSH,R,41,6,4,2,0.15,14.3,-3,35,0,0,1,66.7,0.05,0.68,2026-01-02 19:28:36
Frank Vatrano,ANA,R,38,6,3,3,0.16,4.4,-10,36,1,0,0,50.0,0.08,1.79,2026-01-02 19:28:36
Scott Laughton,TOR,C,22,6,4,2,0.27,14.3,-1,6,1,0,1,66.7,0.09,1.27,2026-01-02 19:28:36
Emil Lilleberg,TBL,D,32,6,2,4,0.19,8.3,9,43,0,0,0,33.3,0.12,0.75,2026-01-02 19:28:36
Cole Koepke,WPG,L,25,6,2,4,0.24,6.1,-2,12,0,0,0,33.3,0.16,1.32,2026-01-02 19:28:36
Ryan Strome,ANA,C,21,6,2,4,0.29,8.0,0,14,0,1,0,33.3,0.19,1.19,2026-01-02 19:28:36
Hendrix Lapierre,WSH,C,38,6,0,6,0.16,0.0,1,8,0,0,0,0.0,0.16,0.74,2026-01-02 19:28:36
Yegor Chinakhov,PIT,R,30,6,3,3,0.2,8.1,-7,6,0,0,0,50.0,0.1,1.23,2026-01-02 19:28:36
Beck Malenstyn,BUF,L,38,6,3,3,0.16,7.7,-5,20,0,0,0,50.0,0.08,1.03,2026-01-02 19:28:36
Conor Timmins,BUF,D,33,6,0,6,0.18,0.0,-11,16,0,0,0,0.0,0.18,1.0,2026-01-02 19:28:36
Tanner Pearson,WPG,L,33,6,4,2,0.18,14.3,3,23,1,0,0,66.7,0.06,0.85,2026-01-02 19:28:36
Joel Hanley,CGY,D,37,6,0,6,0.16,0.0,0,25,0,0,0,0.0,0.16,0.7,2026-01-02 19:28:36
Jani Nyman,SEA,R,24,6,4,2,0.25,12.9,1,6,0,1,0,66.7,0.08,1.29,2026-01-02 19:28:36
Mike Reilly,CAR,D,27,6,1,5,0.22,2.3,6,8,0,0,1,16.7,0.19,1.59,2026-01-02 19:28:36
Tye Kartye,SEA,L,34,6,2,4,0.18,8.3,-7,21,0,0,0,33.3,0.12,0.71,2026-01-02 19:28:36
Mark Jankowski,CAR,L,29,6,2,4,0.21,6.9,1,12,1,0,0,33.3,0.14,1.0,2026-01-02 19:28:36
Ryan Lindgren,SEA,D,38,6,1,5,0.16,3.3,5,41,1,0,0,16.7,0.13,0.79,2026-01-02 19:28:36
Shakir Mukhamadullin,SJS,D,22,6,2,4,0.27,11.1,-1,12,0,0,0,33.3,0.18,0.82,2026-01-02 19:28:36
Connor Murphy,CHI,D,40,6,0,6,0.15,0.0,-4,37,0,0,0,0.0,0.15,0.88,2026-01-02 19:28:36
Jesperi Kotkaniemi,CAR,C,24,6,2,4,0.25,7.1,-1,8,0,0,0,33.3,0.17,1.17,2026-01-02 19:28:36
Dante Fabbro,CBJ,D,39,6,2,4,0.15,5.1,-13,10,0,0,0,33.3,0.1,1.0,2026-01-02 19:28:36
Colton Sissons,VGK,C,35,6,3,3,0.17,8.8,-6,15,1,0,0,50.0,0.09,0.97,2026-01-02 19:28:36
Marco Kasper,DET,C,41,6,3,3,0.15,4.9,-14,27,0,1,0,50.0,0.07,1.49,2026-01-02 19:28:36
Niko Mikkola,FLA,D,39,6,1,5,0.15,2.6,8,35,0,0,0,16.7,0.13,0.97,2026-01-02 19:28:36
Jayden Struble,MTL,D,31,6,0,6,0.19,0.0,-5,34,0,0,0,0.0,0.19,0.35,2026-01-02 19:28:36
Mattias Janmark,EDM,C,25,6,1,5,0.24,5.9,-5,16,0,0,0,16.7,0.2,0.68,2026-01-02 19:28:36
Nico Sturm,MIN,C,19,6,2,4,0.32,10.0,2,2,0,0,0,33.3,0.21,1.05,2026-01-02 19:28:36
Vinnie Hinostroza,MIN,C,28,6,2,4,0.21,8.3,-3,4,1,0,0,33.3,0.14,0.86,2026-01-02 19:28:36
Lars Eller,OTT,C,28,6,2,4,0.21,8.3,-6,6,0,0,1,33.3,0.14,0.86,2026-01-02 19:28:36
Elias Pettersson,VAN,D,35,6,1,5,0.17,5.0,-2,10,0,0,0,16.7,0.14,0.57,2026-01-02 19:28:36
Alex Turcotte,LAK,C,38,6,2,4,0.16,5.6,-6,17,0,0,0,33.3,0.11,0.95,2026-01-02 19:28:36
Stephen Halliday,OTT,C,15,6,0,6,0.4,0.0,-2,0,0,0,0,0.0,0.4,1.0,2026-01-02 19:28:36
Warren Foegele,LAK,L,31,6,5,1,0.19,10.4,0,14,1,0,0,83.3,0.03,1.55,2026-01-02 19:28:36
Adam Wilsby,NSH,D,30,6,1,5,0.2,4.0,-1,14,0,0,0,16.7,0.17,0.83,2026-01-02 19:28:36
Carson Soucy,NYR,D,38,6,3,3,0.16,9.1,7,14,0,0,0,50.0,0.08,0.87,2026-01-02 19:28:36
Jeremy Lauzon,VGK,D,25,5,0,5,0.2,0.0,2,37,0,0,0,0.0,0.2,0.8,2026-01-02 19:28:36
Ben Meyers,SEA,C,20,5,2,3,0.25,8.7,-3,2,1,0,0,40.0,0.15,1.15,2026-01-02 19:28:36
Adam Pelech,NYI,D,41,5,2,3,0.12,3.4,5,20,2,0,0,40.0,0.07,1.44,2026-01-02 19:28:36
Ryan Lomberg,CGY,L,36,5,3,2,0.14,8.6,3,48,0,0,0,60.0,0.06,0.97,2026-01-02 19:28:36
Scott Mayfield,NYI,D,39,5,1,4,0.13,2.6,0,53,0,0,0,20.0,0.1,1.0,2026-01-02 19:28:36
Kevin Hayes,PIT,R,21,5,3,2,0.24,8.1,-4,4,1,0,0,60.0,0.1,1.76,2026-01-02 19:28:36
Jiri Kulich,BUF,C,12,5,3,2,0.42,15.0,-4,4,0,0,0,60.0,0.17,1.67,2026-01-02 19:28:36
Lukas Reichel,VAN,L,19,5,2,3,0.26,13.3,-4,6,0,0,0,40.0,0.16,0.79,2026-01-02 19:28:36
Dylan Samberg,WPG,D,23,5,0,5,0.22,0.0,1,4,0,0,0,0.0,0.22,1.48,2026-01-02 19:28:36
Arshdeep Bains,VAN,L,26,5,1,4,0.19,7.1,0,12,0,0,0,20.0,0.15,0.54,2026-01-02 19:28:36
Nick Bjugstad,STL,C,25,5,4,1,0.2,10.3,-4,12,0,0,0,80.0,0.04,1.56,2026-01-02 19:28:36
Phillip Danault,MTL,C,34,5,0,5,0.15,0.0,1,6,0,0,0,0.0,0.15,1.32,2026-01-02 19:28:36
Albert Johansson,DET,D,42,5,0,5,0.12,0.0,-13,4,0,0,0,0.0,0.12,0.69,2026-01-02 19:28:36
Tyler Kleven,OTT,D,34,5,0,5,0.15,0.0,-13,13,0,0,0,0.0,0.15,1.15,2026-01-02 19:28:36
Zach Whitecloud,VGK,D,39,5,1,4,0.13,3.7,-10,18,0,0,0,20.0,0.1,0.69,2026-01-02 19:28:36
Gabe Perreault,NYR,R,9,5,1,4,0.56,14.3,3,2,0,1,0,20.0,0.44,0.78,2026-01-02 19:28:36
Berkly Catton,SEA,C,25,5,0,5,0.2,0.0,-2,8,0,0,0,0.0,0.2,1.0,2026-01-02 19:28:36
Isac Lundeström,CBJ,C,35,5,1,4,0.14,3.3,-5,4,0,0,0,20.0,0.11,0.86,2026-01-02 19:28:36
Trevor van Riemsdyk,WSH,D,31,5,1,4,0.16,5.9,-3,12,0,0,0,20.0,0.13,0.55,2026-01-02 19:28:36
Noah Juulsen,PHI,D,28,5,1,4,0.18,5.3,2,8,0,0,0,20.0,0.14,0.68,2026-01-02 19:28:36
Zakhar Bardakov,COL,C,26,5,1,4,0.19,5.6,3,2,0,0,0,20.0,0.15,0.69,2026-01-02 19:28:36
Brandon Saad,VGK,L,36,5,1,4,0.14,1.6,-3,14,0,0,0,20.0,0.11,1.69,2026-01-02 19:28:36
Cole Smith,NSH,R,21,5,4,1,0.24,15.4,-2,14,1,0,0,80.0,0.05,1.24,2026-01-02 19:28:36
Calle Jarnkrok,TOR,C,24,5,5,0,0.21,20.8,-7,4,0,0,0,100.0,0.0,1.0,2026-01-02 19:28:36
Joel Kiviranta,COL,L,21,4,1,3,0.19,7.7,0,6,0,0,0,25.0,0.14,0.62,2026-01-02 19:28:36
Kyle Capobianco,DAL,D,19,4,1,3,0.21,8.3,1,6,0,0,0,25.0,0.16,0.63,2026-01-02 19:28:36
Brendan Gaunce,CBJ,C,15,4,1,3,0.27,7.7,-1,10,0,0,1,25.0,0.2,0.87,2026-01-02 19:28:36
Filip Hallander,PIT,C,13,4,1,3,0.31,4.5,4,2,1,0,1,25.0,0.23,1.69,2026-01-02 19:28:36
Josh Dunne,BUF,C,26,4,1,3,0.15,4.5,-3,29,0,0,0,25.0,0.12,0.85,2026-01-02 19:28:36
Nick Seeler,PHI,D,39,4,0,4,0.1,0.0,-5,17,0,0,0,0.0,0.1,1.31,2026-01-02 19:28:36
Otto Stenberg,STL,C,8,4,0,4,0.5,0.0,3,0,0,0,0,0.0,0.5,0.75,2026-01-02 19:28:36
Luke Schenn,WPG,D,27,4,0,4,0.15,0.0,-7,21,0,0,0,0.0,0.15,0.81,2026-01-02 19:28:36
Reid Schaefer,NSH,L,17,4,4,0,0.24,30.8,-3,11,1,0,0,100.0,0.0,0.76,2026-01-02 19:28:36
Sam Dickinson,SJS,D,31,4,1,3,0.13,3.6,-3,6,0,0,0,25.0,0.1,0.9,2026-01-02 19:28:36
Adam Erne,DAL,L,16,4,3,1,0.25,21.4,2,2,0,0,0,75.0,0.06,0.88,2026-01-02 19:28:36
Tyson Kozak,BUF,C,24,4,2,2,0.17,10.5,-4,2,0,0,0,50.0,0.08,0.79,2026-01-02 19:28:36
Adam Edstrom,NYR,C,24,4,2,2,0.17,9.5,5,2,1,0,0,50.0,0.08,0.88,2026-01-02 19:28:36
Will Borgen,NYR,D,35,4,2,2,0.11,5.6,2,22,2,0,0,50.0,0.06,1.03,2026-01-02 19:28:36
Jacob Bryson,BUF,D,23,4,1,3,0.17,14.3,-3,4,0,0,0,25.0,0.13,0.3,2026-01-02 19:28:36
Cole Reinhardt,VGK,L,26,4,1,3,0.15,6.2,-4,8,0,0,0,25.0,0.12,0.62,2026-01-02 19:28:36
Ozzy Wiesblatt,NSH,C,24,4,1,3,0.17,4.5,-6,30,0,0,0,25.0,0.12,0.92,2026-01-02 19:28:36
John Leonard,DET,L,7,4,2,2,0.57,25.0,-2,0,0,0,0,50.0,0.29,1.14,2026-01-02 19:28:36
Nils Lundkvist,DAL,D,14,4,2,2,0.29,20.0,5,4,0,0,0,50.0,0.14,0.71,2026-01-02 19:28:36
Erik Cernak,TBL,D,21,4,0,4,0.19,0.0,1,21,0,0,0,0.0,0.19,0.62,2026-01-02 19:28:36
Brett Pesce,NJD,D,16,4,1,3,0.25,4.8,0,2,0,0,0,25.0,0.19,1.31,2026-01-02 19:28:36
Mackenzie MacEachern,VAN,L,8,4,1,3,0.5,16.7,0,12,0,0,0,25.0,0.38,0.75,2026-01-02 19:28:36
Justin Barron,NSH,D,19,4,0,4,0.21,0.0,-1,6,0,0,0,0.0,0.21,0.79,2026-01-02 19:28:36
Samuel Honzek,CGY,L,18,4,2,2,0.22,9.1,1,2,0,0,0,50.0,0.11,1.22,2026-01-02 19:28:36
Ville Koivunen,PIT,R,26,4,1,3,0.15,3.7,-5,8,0,1,0,25.0,0.12,1.04,2026-01-02 19:28:36
Jordan Greenway,BUF,L,24,4,1,3,0.17,4.0,-9,19,0,0,0,25.0,0.12,1.04,2026-01-02 19:28:36
Nikolas Matinpalo,OTT,D,28,4,0,4,0.14,0.0,-1,10,0,0,0,0.0,0.14,0.68,2026-01-02 19:28:36
Timothy Liljegren,SJS,D,28,4,0,4,0.14,0.0,-10,18,0,0,0,0.0,0.14,0.64,2026-01-02 19:28:36
Alexey Toropchenko,STL,R,26,4,2,2,0.15,8.0,-6,17,0,0,1,50.0,0.08,0.96,2026-01-02 19:28:36
Liam Ohgren,VAN,L,26,4,2,2,0.15,6.2,-4,0,0,0,0,50.0,0.08,1.23,2026-01-02 19:28:36
Colton White,NJD,D,20,4,0,4,0.2,0.0,6,2,0,0,0,0.0,0.2,0.65,2026-01-02 19:28:36
Brayden McNabb,VGK,D,38,3,2,1,0.08,6.1,-5,18,1,0,0,66.7,0.03,0.87,2026-01-02 19:28:36
Kyle MacLean,NYI,C,26,3,1,2,0.12,4.8,-7,25,0,0,0,33.3,0.08,0.81,2026-01-02 19:28:36
Marshall Warren,NYI,D,8,3,0,3,0.38,0.0,0,4,0,0,0,0.0,0.38,0.88,2026-01-02 19:28:36
Simon Benoit,TOR,D,35,3,0,3,0.09,0.0,-4,23,0,0,0,0.0,0.09,0.57,2026-01-02 19:28:36
Joe Veleno,MTL,C,35,3,2,1,0.09,5.6,-7,13,1,0,0,66.7,0.03,1.03,2026-01-02 19:28:36
Jansen Harkins,ANA,C,18,3,3,0,0.17,23.1,-3,6,0,0,0,100.0,0.0,0.72,2026-01-02 19:28:36
Jeff Malott,LAK,L,23,3,3,0,0.13,15.8,-1,23,0,0,0,100.0,0.0,0.83,2026-01-02 19:28:36
Matthew Kessel,STL,D,20,3,2,1,0.15,18.2,0,4,1,0,0,66.7,0.05,0.55,2026-01-02 19:28:36
Zach Bogosian,MIN,D,21,3,1,2,0.14,5.6,8,4,0,0,0,33.3,0.1,0.86,2026-01-02 19:28:36
Marcus Foligno,MIN,L,31,3,1,2,0.1,3.3,-9,34,0,0,0,33.3,0.06,0.97,2026-01-02 19:28:36
Scott Sabourin,TBL,R,9,3,1,2,0.33,20.0,0,63,0,0,0,33.3,0.22,0.56,2026-01-02 19:28:36
Luke Glendening,NJD,C,40,3,0,3,0.08,0.0,-5,2,0,0,0,0.0,0.08,0.52,2026-01-02 19:28:36
Vladislav Kolyachonok,BOS,D,13,3,1,2,0.23,8.3,2,4,1,0,0,33.3,0.15,0.92,2026-01-02 19:28:36
Robby Fabbri,STL,C,8,3,0,3,0.38,0.0,-2,6,0,0,0,0.0,0.38,1.12,2026-01-02 19:28:36
Liam O'Brien,UTA,C,22,3,2,1,0.14,9.1,-4,29,0,0,0,66.7,0.05,1.0,2026-01-02 19:28:36
Jack Finley,TBL,C,13,3,2,1,0.23,20.0,3,12,1,0,0,66.7,0.08,0.77,2026-01-02 19:28:36
Jonas Siegenthaler,NJD,D,40,3,0,3,0.08,0.0,-7,29,0,0,0,0.0,0.08,0.9,2026-01-02 19:28:36
Declan Carlile,TBL,D,19,3,1,2,0.16,6.7,0,8,0,0,0,33.3,0.11,0.79,2026-01-02 19:28:36
David Kampf,VAN,C,18,3,2,1,0.17,14.3,-3,4,0,0,0,66.7,0.06,0.78,2026-01-02 19:28:36
Zachary Aston-Reese,CBJ,L,20,3,0,3,0.15,0.0,-1,8,0,0,0,0.0,0.15,0.75,2026-01-02 19:28:36
Elmer Soderblom,DET,L,25,3,2,1,0.12,7.7,-3,8,1,0,0,66.7,0.04,1.04,2026-01-02 19:28:36
Declan Chisholm,WSH,D,15,3,0,3,0.2,0.0,0,2,0,0,0,0.0,0.2,0.8,2026-01-02 19:28:36
Nick Leddy,SJS,D,15,3,0,3,0.2,0.0,-8,6,0,0,0,0.0,0.2,0.4,2026-01-02 19:28:36
Ryan Reaves,SJS,R,34,3,3,0,0.09,15.0,-7,21,0,0,0,100.0,0.0,0.59,2026-01-02 19:28:36
